Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2,1,1,9147,1,1,1900-01-06 07:00:00,1,38,37,9,8,1900-01-05 12:01:00,1,0,0,1,0,0,34,0,0,5,7,2,10:00:00,0,0,5,6,4,12:00:00,0,07:06:00,02:06:00,00:32:00,Dropout
2,51,1,9853,1,1,1900-01-05 10:00:00,1,37,37,7,8,1900-01-05 00:03:00,0,0,0,1,0,0,35,0,0,7,7,0,00:00:00,0,0,6,0,0,00:00:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,7,1,9991,0,40,1900-01-05 00:00:00,1,37,37,9,7,1900-01-05 00:00:00,0,0,0,1,0,0,32,0,0,5,7,5,11:06:00,0,0,5,8,5,12333333333333300,0,12:04:00,00:05:00,0.096527778,Graduate
1,17,2,9254,1,1,1900-01-05 16:00:00,1,19,19,4,7,1900-01-05 03:01:00,1,0,0,1,0,0,19,0,0,6,8,6,12166666666666600,0,0,6,6,6,13:05:00,0,11:01:00,00:06:00,02:02:00,Graduate
1,17,5,9670,1,1,1900-01-05 05:00:00,1,1,19,9,7,1900-01-04 23:04:00,1,0,0,1,0,0,18,0,0,6,10,4,13:06:00,0,0,6,7,5,12666666666666600,0,11:01:00,00:06:00,02:02:00,Graduate
2,39,1,9147,1,1,1900-01-05 13:01:00,1,37,37,9,9,1900-01-05 20:00:00,0,0,0,0,0,0,35,0,0,5,8,4,12:05:00,1,0,5,8,5,11:08:00,0,09:04:00,-0.8,-3.12,Dropout
1,39,1,8014,0,1,1900-01-05 13:01:00,1,1,12,4,5,1900-01-04 20:05:00,0,0,0,1,1,1,24,0,0,6,6,4,12:25:00,0,0,6,10,4,11:05:00,0,12:04:00,00:05:00,0.096527778,Enrolled
1,17,1,9238,1,1,1900-01-05 00:00:00,1,19,37,9,9,1900-01-04 17:00:00,1,0,0,1,0,1,20,0,0,6,7,6,11714285714285700,0,0,6,8,6,12625,0,13:09:00,-0.3,0.054861111,Graduate
1,1,3,9773,1,1,1900-01-05 23:00:00,11,19,19,4,9,1900-01-05 13:09:00,1,0,0,1,1,1,18,1,0,6,7,6,13:05:00,0,0,6,7,6,13:00:00,0,16:02:00,00:03:00,-0.92,Graduate
1,1,3,9500,1,1,1900-01-05 13:01:00,1,38,19,7,9,1900-01-04 19:05:00,1,0,0,1,1,1,20,0,0,8,8,7,13024285714285700,0,0,8,8,7,13024285714285700,0,10:08:00,01:04:00,0.093055556,Graduate
1,17,5,9254,1,1,1900-01-05 01:00:00,1,1,19,4,7,1900-01-04 20:05:00,1,0,0,0,1,0,18,0,0,6,12,0,00:00:00,0,0,6,0,0,00:00:00,0,09:04:00,-0.8,-3.12,Dropout
1,1,1,9119,1,1,1900-01-07 00:00:00,1,19,19,4,4,1900-01-07 03:02:00,0,0,0,1,1,1,18,0,0,5,6,5,17333333333333300,0,0,5,8,5,18571428571428500,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9670,1,1,1900-01-05 04:00:00,1,19,37,5,7,1900-01-04 23:01:00,0,0,0,1,1,1,20,0,0,5,7,4,11:00:00,0,0,5,7,4,11:05:00,0,09:04:00,-0.8,-3.12,Graduate
1,17,2,9853,1,1,1900-01-05 07:00:00,1,19,38,3,3,1900-01-05 01:01:00,1,0,0,1,1,0,19,0,0,7,10,6,13666666666666600,0,0,7,9,6,12:05:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,1,2,9070,1,1,1900-01-05 09:00:00,1,1,1,4,9,1900-01-05 12:09:00,1,0,0,1,1,1,20,0,0,6,9,6,11375,0,0,6,6,5,13:08:00,0,07:06:00,02:06:00,00:32:00,Enrolled
1,1,1,9238,1,1,1900-01-05 17:00:00,1,19,1,9,9,1900-01-05 12:08:00,0,0,0,1,1,0,19,0,0,6,6,6,12833333333333300,0,0,6,8,6,11833333333333300,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,1,9773,1,1,1900-01-05 00:00:00,1,36,37,0,0,1900-01-05 06:07:00,1,0,0,1,1,0,20,0,0,6,9,5,12:06:00,0,0,6,11,4,11:05:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,1,1,9500,1,1,1900-01-04 14:00:00,1,19,19,9,7,1900-01-04 09:08:00,1,0,0,1,1,0,22,0,0,7,8,6,14333333333333300,0,0,8,9,7,13771428571428500,0,11:01:00,00:06:00,02:02:00,Graduate
1,17,2,9119,1,1,1900-01-05 00:00:00,1,1,19,9,8,1900-01-04 21:02:00,0,0,0,1,1,1,18,0,0,5,8,4,13:05:00,0,0,6,10,6,13625,0,11:01:00,00:06:00,02:02:00,Enrolled
1,1,1,9500,1,1,1900-01-05 23:00:00,1,38,38,9,9,1900-01-05 20:00:00,0,0,0,1,1,0,19,0,0,8,8,7,14285714285714200,0,0,8,8,7,14285714285714200,0,12:07:00,03:07:00,-1.7,Graduate
1,44,1,9003,1,39,1900-01-05 00:00:00,1,1,19,9,7,1900-01-05 00:00:00,0,0,0,1,1,0,22,0,2,6,15,3,0.510416667,0,0,6,12,2,10:00:00,0,13:09:00,-0.3,0.054861111,Dropout
1,17,5,9119,1,1,1900-01-05 04:00:00,11,4,12,2,9,1900-01-04 23:05:00,1,0,0,1,1,0,20,1,0,5,5,5,14:08:00,0,0,5,5,5,17:06:00,0,08:09:00,01:04:00,03:51:00,Graduate
2,39,1,9003,1,1,1900-01-07 00:00:00,1,1,41,9,3,1900-01-06 09:09:00,0,0,1,0,1,0,34,0,0,6,7,0,00:00:00,0,0,6,0,0,00:00:00,0,12:04:00,00:05:00,0.096527778,Dropout
2,39,1,8014,0,19,1900-01-05 13:01:00,1,1,1,4,4,1900-01-05 10:00:00,0,0,0,1,1,0,24,0,0,6,14,1,10:00:00,0,0,5,5,0,00:00:00,0,16:02:00,00:03:00,-0.92,Dropout
1,39,2,9670,1,1,1900-01-06 06:00:00,1,34,34,0,0,1900-01-04 11:00:00,1,0,0,1,1,0,26,0,0,5,5,0,00:00:00,0,0,5,5,0,00:00:00,0,07:06:00,02:06:00,00:32:00,Dropout
1,39,1,9500,1,1,1900-01-05 20:00:00,1,37,37,9,6,1900-01-05 12:08:00,0,0,0,1,1,0,35,0,0,7,10,4,12:06:00,0,0,7,9,5,12:38:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,1,1,9991,0,1,1900-01-06 01:00:00,1,2,37,4,9,1900-01-05 07:05:00,1,0,0,1,1,0,22,0,0,5,9,5,12428571428571400,1,0,5,7,5,11:08:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,18,1,9254,1,1,1900-01-04 22:00:00,1,38,38,5,5,1900-01-05 03:03:00,1,0,0,1,1,0,26,0,0,6,10,4,10:00:00,0,0,6,11,3,12:00:00,0,09:04:00,-0.8,-3.12,Enrolled
1,17,1,9147,1,1,1900-01-05 03:00:00,1,1,19,3,4,1900-01-05 02:00:00,0,0,0,1,1,0,19,0,0,5,7,3,12333333333333300,0,0,5,5,0,00:00:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,1,5,9254,1,1,1900-01-05 00:00:00,1,3,19,3,9,1900-01-04 18:08:00,1,0,0,0,1,0,19,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,44,1,171,1,39,1900-01-05 20:00:00,1,3,3,2,2,1900-01-05 20:00:00,0,0,1,1,1,0,20,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,15:05:00,02:08:00,-4.06,Graduate
1,51,1,9670,1,1,1900-01-05 06:00:00,1,3,3,1,10,1900-01-04 15:00:00,0,0,1,1,1,0,21,0,5,11,12,10,12:01:00,0,2,8,9,8,13333333333333300,0,11:01:00,00:06:00,02:02:00,Graduate
1,1,2,9773,1,1,1900-01-05 17:00:00,1,1,19,7,7,1900-01-05 13:02:00,1,0,0,1,0,1,19,0,0,6,7,6,14714285714285700,0,0,6,6,6,15:00:00,0,13:09:00,-0.3,0.054861111,Graduate
1,1,3,9773,1,1,1900-01-05 10:00:00,1,19,19,9,9,1900-01-05 03:00:00,1,0,0,1,0,0,18,0,0,6,6,6,12666666666666600,0,0,6,7,6,12833333333333300,0,12:07:00,03:07:00,-1.7,Graduate
1,53,1,9003,1,42,1900-01-06 06:00:00,1,1,38,8,8,1900-01-06 06:00:00,0,0,0,1,0,1,23,0,7,12,14,12,14384615384615300,0,5,10,12,10,13:03:00,0,08:09:00,01:04:00,03:51:00,Graduate
1,17,3,9147,1,1,1900-01-06 03:00:00,1,19,38,5,7,1900-01-05 12:03:00,1,0,0,1,0,1,18,0,0,5,5,5,13:04:00,0,0,5,6,5,12:02:00,0,12:07:00,03:07:00,-1.7,Graduate
1,18,1,9500,1,1,1900-01-05 20:00:00,1,37,38,5,7,1900-01-05 06:00:00,1,0,0,1,0,0,18,0,0,8,8,7,13314285714285700,0,0,8,8,7,13314285714285700,0,12:07:00,03:07:00,-1.7,Graduate
1,1,3,9500,1,1,1900-01-05 12:00:00,1,38,38,9,9,1900-01-04 23:03:00,1,0,0,1,0,0,19,0,0,8,8,7,1198857142857140,0,0,8,8,7,1198857142857140,0,10:08:00,01:04:00,0.093055556,Graduate
1,53,1,9147,1,42,1900-01-05 10:00:00,1,1,19,143,172,1900-01-05 13:08:00,1,0,0,1,0,0,21,0,6,11,17,11,11545454545454500,0,3,9,13,8,1288888888888880,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,1,9085,1,1,1900-01-05 10:00:00,1,37,37,9,6,1900-01-05 06:05:00,1,0,0,1,0,1,18,0,0,6,13,6,1646153846153840,0,0,6,8,6,13875,0,15:05:00,02:08:00,-4.06,Graduate
1,1,1,9773,1,1,1900-01-06 07:00:00,1,38,37,9,5,1900-01-05 18:04:00,1,0,0,1,0,1,24,0,0,6,7,6,13666666666666600,0,0,6,6,6,12833333333333300,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,4,9500,1,1,1900-01-06 00:00:00,1,3,39,2,3,1900-01-05 09:00:00,1,0,0,1,0,0,18,0,0,7,8,7,0.545138889,0,0,8,9,8,13411111111111100,0,16:02:00,00:03:00,-0.92,Dropout
1,1,1,9670,1,1,1900-01-05 07:00:00,1,19,1,5,7,1900-01-04 22:03:00,1,0,0,1,0,0,18,0,0,6,7,6,12333333333333300,0,0,6,10,3,12:00:00,0,13:09:00,-0.3,0.054861111,Enrolled
1,17,2,9500,1,1,1900-01-05 11:00:00,1,19,37,9,7,1900-01-05 09:08:00,1,0,0,1,0,0,20,0,0,7,8,6,14:37:00,0,0,8,10,7,0.628472222,0,12:04:00,00:05:00,0.096527778,Graduate
1,17,2,9085,1,1,1900-01-05 03:00:00,1,1,19,4,9,1900-01-04 17:06:00,1,0,0,1,0,0,19,0,0,5,13,3,12:00:00,2,0,5,8,4,0.510416667,0,09:04:00,-0.8,-3.12,Enrolled
1,1,5,9773,1,1,1900-01-05 10:00:00,1,34,38,0,8,1900-01-05 08:03:00,1,0,0,0,0,1,18,0,0,6,12,3,12:00:00,0,0,6,15,3,10666666666666600,0,07:06:00,02:06:00,00:32:00,Dropout
1,43,1,9254,1,1,1900-01-05 10:00:00,1,1,19,5,7,1900-01-05 10:00:00,0,0,0,1,0,1,19,0,0,6,11,4,12:00:00,0,0,6,14,3,11:00:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,17,2,9853,1,1,1900-01-05 11:00:00,1,1,38,4,8,1900-01-05 01:09:00,1,0,0,1,0,0,19,0,0,6,10,5,12:06:00,0,0,6,7,5,11:02:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,5,9238,1,3,1900-01-05 15:00:00,1,1,38,9,3,1900-01-05 09:04:00,0,0,1,1,0,0,18,0,0,6,6,6,12166666666666600,0,0,6,6,6,12333333333333300,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,2,9853,1,1,1900-01-05 03:00:00,1,19,1,194,103,1900-01-04 19:03:00,1,0,0,1,0,0,20,0,0,7,8,6,13:05:00,0,0,7,8,6,14:00:00,0,11:01:00,00:06:00,02:02:00,Enrolled
1,1,5,9500,1,1,1900-01-06 01:00:00,1,38,38,9,9,1900-01-05 05:05:00,1,0,0,1,0,1,18,0,0,8,8,8,1376375,0,0,8,8,8,1376375,0,09:04:00,-0.8,-3.12,Graduate
1,17,6,9556,1,1,1900-01-04 22:00:00,1,38,38,5,5,1900-01-04 21:08:00,1,0,0,1,0,1,19,0,0,7,11,6,12:04:00,0,0,7,8,6,12:08:00,0,11:01:00,00:06:00,02:02:00,Graduate
1,17,3,9147,1,1,1900-01-05 05:00:00,1,3,38,2,10,1900-01-04 22:07:00,1,0,0,1,0,0,18,0,0,5,16,4,10666666666666600,0,0,5,11,2,12:00:00,0,13:09:00,-0.3,0.054861111,Enrolled
1,1,2,9500,1,1,1900-01-06 08:00:00,1,37,37,9,9,1900-01-05 19:00:00,1,0,0,1,0,0,18,0,0,7,7,6,14333333333333300,0,0,7,7,6,14333333333333300,0,07:06:00,02:06:00,00:32:00,Graduate
1,1,1,9085,1,1,1900-01-04 05:00:00,1,1,37,4,9,1900-01-04 02:09:00,1,0,0,1,0,0,21,0,0,6,12,4,12:05:00,0,0,6,13,2,12666666666666600,0,11:01:00,00:06:00,02:02:00,Enrolled
1,17,1,9254,1,1,1900-01-05 17:00:00,1,34,38,0,7,1900-01-05 17:07:00,1,0,1,0,0,0,19,0,0,6,14,1,10:00:00,0,0,6,13,0,00:00:00,0,07:06:00,02:06:00,00:32:00,Dropout
1,1,4,9500,1,1,1900-01-05 03:00:00,1,1,1,3,3,1900-01-04 17:06:00,1,0,0,1,0,0,21,0,0,7,8,7,1469625,0,0,8,9,8,14622222222222200,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9085,1,1,1900-01-05 00:00:00,1,4,1,2,9,1900-01-04 17:04:00,0,0,0,1,0,0,18,0,0,6,14,4,11:05:00,0,0,6,17,3,0.59375,0,11:01:00,00:06:00,02:02:00,Enrolled
1,17,3,9556,1,1,1900-01-05 11:00:00,1,19,38,9,7,1900-01-05 08:05:00,0,0,0,1,0,1,18,0,0,7,9,7,12855555555555500,0,0,8,8,8,139125,0,12:07:00,03:07:00,-1.7,Graduate
1,1,1,9500,1,1,1900-01-05 21:00:00,1,1,1,3,10,1900-01-05 22:08:00,0,0,0,1,0,0,18,0,0,7,7,7,13:07:00,0,0,8,9,8,13994444444444400,0,11:01:00,00:06:00,02:02:00,Graduate
1,1,1,9130,1,1,1900-01-06 00:00:00,1,3,1,1,3,1900-01-05 17:07:00,0,0,0,0,0,0,23,0,0,5,9,0,00:00:00,3,1,5,10,1,12:00:00,3,10:08:00,01:04:00,0.093055556,Dropout
1,1,1,9238,1,1,1900-01-04 11:00:00,1,19,37,7,7,1900-01-04 07:05:00,1,0,0,1,0,0,20,0,0,6,13,3,11:02:00,0,0,6,9,4,12:00:00,0,16:02:00,00:03:00,-0.92,Enrolled
1,1,1,9500,1,1,1900-01-05 13:00:00,1,38,38,5,5,1900-01-05 03:02:00,0,0,0,1,0,0,18,0,0,7,7,7,13285714285714200,0,0,8,9,8,13333333333333300,0,16:02:00,00:03:00,-0.92,Graduate
1,17,2,9853,1,1,1900-01-05 06:00:00,1,1,19,2,10,1900-01-05 06:00:00,1,0,0,1,0,0,19,0,0,6,9,5,13:00:00,0,0,6,8,5,10:04:00,0,07:06:00,02:06:00,00:32:00,Enrolled
1,39,1,9500,1,1,1900-01-05 13:01:00,1,1,38,3,7,1900-01-05 01:07:00,0,0,0,1,0,1,27,0,0,7,8,6,12:06:00,0,0,7,9,6,11685714285714200,0,12:04:00,00:05:00,0.096527778,Enrolled
1,17,1,9147,1,1,1900-01-06 03:00:00,1,37,37,9,6,1900-01-05 22:08:00,1,0,1,0,0,1,19,0,0,5,5,5,12:08:00,0,0,5,5,4,12:00:00,0,11:01:00,00:06:00,02:02:00,Enrolled
1,43,1,9130,1,1,1900-01-05 00:00:00,1,1,19,9,9,1900-01-05 00:00:00,1,0,0,1,0,0,21,0,0,6,14,5,11:05:00,1,0,6,13,5,11:00:00,1,15:05:00,02:08:00,-4.06,Dropout
1,18,1,9500,1,1,1900-01-05 10:00:00,1,37,38,7,8,1900-01-04 23:03:00,1,0,0,1,0,1,19,0,0,8,8,7,11:04:00,0,0,8,8,7,11:04:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,44,1,9238,1,1,1900-01-05 00:00:00,1,37,37,6,9,1900-01-05 01:00:00,0,0,0,1,0,1,21,0,3,6,6,6,12333333333333300,0,2,6,8,6,11333333333333300,0,13:09:00,-0.3,0.054861111,Graduate
1,1,5,9773,1,1,1900-01-05 18:00:00,1,19,19,9,9,1900-01-05 19:04:00,1,0,0,1,0,0,18,0,0,6,7,5,12:08:00,0,0,6,10,4,12:02:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,17,1,9085,1,1,1900-01-05 04:00:00,1,19,38,7,7,1900-01-04 17:09:00,1,0,0,1,0,1,20,0,0,5,8,5,12:00:00,1,0,5,8,4,15:00:00,1,12:07:00,03:07:00,-1.7,Graduate
1,1,1,9853,1,1,1900-01-05 13:00:00,1,37,37,9,7,1900-01-05 04:06:00,1,0,0,1,0,1,18,0,0,6,8,5,13:00:00,0,0,6,9,5,13:05:00,0,09:04:00,-0.8,-3.12,Graduate
1,17,1,9070,1,1,1900-01-05 02:00:00,1,1,1,4,8,1900-01-05 03:08:00,1,0,1,0,0,1,18,0,0,6,6,6,11833333333333300,0,0,6,8,6,11:00:00,0,12:07:00,03:07:00,-1.7,Dropout
1,1,3,9085,1,1,1900-01-05 18:00:00,1,1,3,4,4,1900-01-05 06:03:00,1,0,0,1,0,0,18,0,0,6,8,6,14:00:00,0,0,6,9,6,13333333333333300,0,08:09:00,01:04:00,03:51:00,Graduate
1,17,4,9773,1,1,1900-01-05 14:00:00,1,1,1,3,3,1900-01-05 00:04:00,1,0,0,1,0,1,18,0,0,6,6,6,12333333333333300,0,0,6,6,6,13:05:00,0,16:02:00,00:03:00,-0.92,Graduate
1,1,3,9500,1,1,1900-01-05 08:00:00,1,1,1,7,7,1900-01-05 00:05:00,1,0,0,1,0,1,19,0,0,7,10,5,13:04:00,0,0,7,7,7,12:05:00,0,12:04:00,00:05:00,0.096527778,Enrolled
1,53,1,9085,1,42,1900-01-05 20:00:00,1,19,38,8,9,1900-01-06 00:09:00,1,0,1,0,0,0,23,0,7,11,18,11,13166666666666600,0,4,9,15,8,13333333333333300,0,08:09:00,01:04:00,03:51:00,Enrolled
1,39,1,9085,1,19,1900-01-05 13:01:00,1,19,19,4,9,1900-01-05 19:09:00,1,0,0,1,0,1,24,0,1,6,7,6,12:05:00,0,0,6,11,6,12833333333333300,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,1,171,1,1,1900-01-05 22:00:00,1,1,1,3,3,1900-01-05 13:03:00,1,0,0,1,0,0,19,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,3,9500,1,1,1900-01-05 21:00:00,1,19,19,9,9,1900-01-05 06:00:00,1,0,0,1,0,0,18,0,0,8,8,7,15657142857142800,0,0,8,8,7,15657142857142800,0,12:07:00,03:07:00,-1.7,Graduate
1,1,2,9070,1,1,1900-01-06 01:00:00,1,1,19,4,3,1900-01-05 13:05:00,0,0,0,1,0,0,19,0,0,6,6,6,12166666666666600,0,0,6,6,6,11333333333333300,0,12:07:00,03:07:00,-1.7,Graduate
1,17,2,9853,1,1,1900-01-06 01:00:00,1,38,19,4,9,1900-01-05 07:09:00,1,0,0,1,0,0,19,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,1,1,9238,1,1,1900-01-04 12:00:00,1,1,38,5,8,1900-01-04 09:09:00,0,0,0,1,0,1,20,0,0,6,11,5,10:06:00,0,0,6,9,5,11166666666666600,0,11:01:00,00:06:00,02:02:00,Enrolled
1,1,1,9085,1,1,1900-01-05 12:00:00,1,1,12,4,5,1900-01-05 04:03:00,0,0,0,1,0,0,20,0,0,6,10,6,13428571428571400,0,0,6,11,5,12666666666666600,0,13:09:00,-0.3,0.054861111,Enrolled
1,39,1,9773,1,1,1900-01-05 20:00:00,1,34,37,0,0,1900-01-04 06:05:00,0,0,0,1,0,0,26,0,0,6,8,4,0.510416667,0,0,6,12,0,00:00:00,0,07:06:00,02:06:00,00:32:00,Dropout
1,39,1,9254,1,19,1900-01-05 13:01:00,1,19,1,9,5,1900-01-04 01:00:00,0,0,1,0,1,0,36,0,0,5,10,0,00:00:00,0,0,5,5,0,00:00:00,0,15:05:00,02:08:00,-4.06,Dropout
1,17,1,171,1,1,1900-01-05 08:00:00,1,1,1,4,10,1900-01-05 14:07:00,0,0,0,0,1,0,19,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,42,1,9119,1,1,1900-01-05 00:00:00,1,19,37,9,9,1900-01-04 17:08:00,0,0,0,0,1,0,27,0,0,5,0,0,00:00:00,0,0,5,0,0,00:00:00,0,15:05:00,02:08:00,-4.06,Dropout
1,1,4,9119,1,1,1900-01-05 00:00:00,1,3,1,123,152,1900-01-04 20:09:00,0,0,0,1,1,0,18,0,0,5,9,1,13:00:00,0,0,5,5,0,00:00:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,1,4,9500,1,1,1900-01-05 19:00:00,1,37,38,9,9,1900-01-05 04:00:00,1,0,0,1,1,1,18,0,0,8,8,7,13331428571428500,0,0,8,8,7,13331428571428500,0,10:08:00,01:04:00,0.093055556,Graduate
1,39,1,9070,1,1,1900-01-05 19:03:00,1,38,38,5,5,1900-01-04 21:05:00,0,0,0,1,1,0,28,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,44,1,171,1,39,1900-01-06 06:00:00,1,19,1,9,9,1900-01-06 10:08:00,1,0,0,1,1,0,21,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9500,1,1,1900-01-05 18:00:00,1,19,37,4,9,1900-01-05 21:00:00,0,0,0,1,1,0,19,0,0,7,7,6,13:07:00,0,0,7,7,6,13:07:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,39,1,9670,1,9,1900-01-05 13:01:00,1,6,22,3,3,1900-01-05 00:00:00,0,0,1,0,1,0,26,0,0,5,5,0,00:00:00,0,0,5,5,0,00:00:00,5,09:04:00,-0.8,-3.12,Dropout
1,51,1,9119,1,1,1900-01-05 16:00:00,1,1,19,3,5,1900-01-05 13:06:00,1,0,0,1,1,0,20,0,4,9,12,9,13454545454545400,0,2,7,9,6,13875,0,11:01:00,00:06:00,02:02:00,Dropout
1,1,6,9500,1,1,1900-01-05 14:00:00,1,38,38,9,9,1900-01-05 02:00:00,1,0,0,1,1,0,19,0,0,8,8,7,12:02:00,0,0,8,8,7,12:02:00,0,12:07:00,03:07:00,-1.7,Graduate
1,1,1,9147,1,1,1900-01-05 20:00:00,1,19,19,7,3,1900-01-05 00:00:00,1,0,0,1,1,0,21,0,0,5,8,3,10:00:00,0,0,5,10,4,11:00:00,0,12:07:00,03:07:00,-1.7,Dropout
1,53,1,9670,1,42,1900-01-04 14:00:00,1,1,19,9,9,1900-01-04 18:02:00,0,0,0,1,1,1,23,0,0,6,7,5,13:00:00,0,0,6,7,6,12857142857142800,0,08:09:00,01:04:00,03:51:00,Graduate
1,39,1,8014,0,38,1900-01-05 13:01:00,1,38,37,4,8,1900-01-03 23:05:00,0,0,0,1,1,0,29,0,0,6,11,6,12:00:00,0,0,6,6,6,14:00:00,0,11:01:00,00:06:00,02:02:00,Graduate
1,1,1,9500,1,1,1900-01-05 09:00:00,1,1,1,9,9,1900-01-05 00:00:00,0,0,0,1,1,0,20,0,0,8,8,7,15028571428571400,0,0,8,8,7,15028571428571400,0,12:07:00,03:07:00,-1.7,Graduate
1,1,1,9238,1,1,1900-01-04 20:00:00,1,1,19,5,9,1900-01-04 15:01:00,0,0,0,1,1,0,18,0,0,6,8,6,12:00:00,0,0,6,7,6,11714285714285700,0,15:05:00,02:08:00,-4.06,Graduate
1,1,1,9773,1,1,1900-01-05 10:00:00,1,1,38,3,5,1900-01-05 08:06:00,1,0,0,1,1,0,19,0,0,6,8,5,12:00:00,0,0,6,8,5,12:04:00,0,09:04:00,-0.8,-3.12,Graduate
1,7,1,9556,1,3,1900-01-05 10:00:00,1,1,37,4,8,1900-01-05 10:00:00,0,0,0,0,1,0,23,0,3,7,7,3,13666666666666600,0,3,8,8,3,11333333333333300,4,10:08:00,01:04:00,0.093055556,Dropout
1,1,1,171,1,1,1900-01-04 20:00:00,1,38,1,5,1,1900-01-04 15:01:00,0,0,0,1,1,0,21,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,13:09:00,-0.3,0.054861111,Dropout
1,17,1,9147,1,1,1900-01-05 16:00:00,1,1,1,9,3,1900-01-05 02:07:00,1,0,0,1,1,0,18,0,0,5,6,5,12:00:00,0,0,5,7,4,12:05:00,0,15:05:00,02:08:00,-4.06,Enrolled
1,1,1,171,1,1,1900-01-06 03:00:00,1,37,19,7,7,1900-01-05 14:04:00,1,0,0,1,1,1,18,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,5,9070,1,1,1900-01-04 21:00:00,1,19,37,5,5,1900-01-05 11:00:00,1,0,1,0,1,0,21,0,0,6,6,1,14:00:00,0,0,6,7,0,00:00:00,7,09:04:00,-0.8,-3.12,Dropout
1,51,1,9238,1,1,1900-01-05 21:00:00,1,1,1,5,9,1900-01-05 05:00:00,0,0,0,1,1,0,22,0,0,6,6,0,00:00:00,0,0,6,7,0,00:00:00,0,11:01:00,00:06:00,02:02:00,Dropout
1,18,1,9556,1,1,1900-01-05 13:01:00,1,3,19,2,8,1900-01-04 10:00:00,1,0,0,1,1,0,21,0,0,7,8,7,12375,0,0,7,11,5,12583333333333300,0,08:09:00,01:04:00,03:51:00,Graduate
1,39,1,9500,1,1,1900-01-05 13:01:00,1,38,19,9,9,1900-01-05 08:00:00,1,0,0,0,1,0,32,0,0,7,0,0,00:00:00,0,0,8,0,0,00:00:00,0,16:02:00,00:03:00,-0.92,Dropout
1,7,1,9003,1,3,1900-01-05 00:00:00,1,1,19,4,1,1900-01-05 00:00:00,1,0,0,1,1,0,27,0,14,18,21,18,11421052631578900,0,10,13,16,13,11076923076923000,1,15:05:00,02:08:00,-4.06,Graduate
1,1,1,9500,1,1,1900-01-06 04:00:00,1,19,38,9,8,1900-01-05 14:08:00,1,0,0,1,1,0,18,0,0,7,7,6,13:35:00,0,0,7,7,6,13:35:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,39,1,9070,1,1,1900-01-05 10:00:00,1,1,1,5,3,1900-01-04 16:00:00,1,0,0,1,1,1,24,0,0,6,6,6,15:00:00,0,0,6,6,2,16:00:00,0,15:05:00,02:08:00,-4.06,Graduate
